metric,value,std_error,count
recall@10,0.010621881280305811,0.000275647734876571,3
recall@5,0.00928431925825181,0.00014797513196850427,3
precision@10,0.0033511586452762924,0.0001167251732174324,3
WHR@5,0.008408567467390998,0.0002548751931607687,3
nDCG@5,0.008461017017224142,0.0002796693376830632,3
HR@5,0.009855020796197267,0.00012452794619558527,3
nDCG@10,0.008159731773957563,0.00030695358522805525,3
precision@5,0.0057468805704099825,6.215898671715748e-05,3
HR@10,0.010662394250629544,0.00027575620952908033,3
WHR@10,0.00766511073153978,0.0002047906936013524,3
