metric,value,std_error,count
WHR@5,0.0655159662142551,0.00011723679025414721,3
precision@5,0.03957599396074484,0.0004016711737913054,3
nDCG@5,0.06611203924425128,0.000148700421729931,3
WHR@10,0.06510714862625012,7.573329486830738e-05,3
recall@5,0.09323882206688068,0.0004175937194671839,3
recall@10,0.10185796131327329,0.0003701860313249026,3
HR@10,0.10248292139648456,0.00037035679233621445,3
HR@5,0.09412570597774422,0.00043924644408918027,3
nDCG@10,0.06603599020011368,0.00012524165687268174,3
precision@10,0.037326251587701004,0.00034054813380758554,3
