dataset,feature,method,n_users,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,raw_low_to_high_mean,raw_low_to_high_sd,centered_low_to_high_mean,centered_low_to_high_sd,rho_raw_sign,rho_centered_sign,centered_effect_sign
dunnhumby,target_basket_size,cbp,4504.0,0.5698682719832865,0.0165585855135287,0.2738657101535137,0.016018427921204153,0.4448830128454781,0.01020475878499363,0.05630636165610967,0.004934283946324461,positive,positive,positive
dunnhumby,target_basket_size,diffrec,4504.0,0.5499149025634104,0.010197874450265813,0.11799167065024202,0.017952055785082466,0.40540755424637814,0.002821235899481966,0.016830903057009756,0.004411673895750529,positive,positive,positive
dunnhumby,target_basket_size,dnntsp,4504.0,0.5921970479856574,0.023366198031862996,0.08211932180760984,0.07072783440162121,0.42455431785920394,0.029541365086914465,0.03597766666983557,0.02649062514543079,positive,positive,positive
dunnhumby,target_basket_size,fpmc,4504.0,0.5019302957194992,0.011674992127827338,-0.338813211715893,0.005503826843595406,0.24542605111937552,0.003669771107928078,-0.1431506000699929,0.002925552051755194,positive,negative,negative
dunnhumby,target_basket_size,frequency,4504.0,0.5663821823698431,0.01707219725743115,0.25969782177619916,0.020319470130933638,0.44227057909864526,0.012233727412749909,0.05369392790927688,0.007198237746860177,positive,positive,positive
dunnhumby,target_basket_size,recency,4504.0,0.5107481207994362,0.006975168942304371,-0.24450782004037117,0.019444530965716515,0.29534725588165833,0.007585061310748244,-0.09322939530771007,0.013183657757345563,positive,negative,negative
dunnhumby,target_basket_size,tifuknn,4504.0,0.5659251850065031,0.010713070651767112,0.2272026086967537,0.013910411118206904,0.4360675331401422,0.003846346664376168,0.04749088195077378,0.007789123044294098,positive,positive,positive
dunnhumby,target_basket_size,triple2vec,4504.0,0.5535055200807403,0.017080600061883066,0.12100511332294965,0.016086410683398677,0.4146569053240658,0.01539982525343715,0.026080254134697365,0.009839455666882293,positive,positive,positive
dunnhumby,target_last_jaccard,cbp,4504.0,0.5803163343604566,0.009139049251587907,0.19494796867777667,0.017562389338044174,0.4271805850422263,0.012561490270327063,0.03373102247140808,0.003843256032199357,positive,positive,positive
dunnhumby,target_last_jaccard,diffrec,4504.0,0.5471041191608585,0.01725556613460547,0.027300101240338978,0.022847847694864053,0.3843740927240937,0.01993384985157068,-0.009075469846724504,0.00548948944176493,positive,positive,negative
dunnhumby,target_last_jaccard,dnntsp,4504.0,0.5046401387836656,0.032613911452720204,-0.12512022128612207,0.07584222013422667,0.33491918302936025,0.037935847957924956,-0.0585303795414579,0.0247389404300508,positive,negative,negative
dunnhumby,target_last_jaccard,fpmc,4504.0,0.4651609453290253,0.022503380890986562,-0.38398201825187345,0.02159795916620884,0.2226216988809454,0.009636686933377978,-0.17082786368987277,0.006238709560910772,positive,negative,negative
dunnhumby,target_last_jaccard,frequency,4504.0,0.5746000192897635,0.009290824824055466,0.17371788228616358,0.018992657868426688,0.4223714114388229,0.013015111280948803,0.02892184886800477,0.0014630696568670918,positive,positive,positive
dunnhumby,target_last_jaccard,recency,4504.0,0.799679476137324,0.004854665891263307,0.1722525559439195,0.011207411921029503,0.48107890263969705,0.006573765394224766,0.08762934006887894,0.010935520511912255,positive,positive,positive
dunnhumby,target_last_jaccard,tifuknn,4504.0,0.6282019173363552,0.009624107954147464,0.3104600165877917,0.029457954903945732,0.4580045182417098,0.015808839734080673,0.06455495567089155,0.008957589798852559,positive,positive,positive
dunnhumby,target_last_jaccard,triple2vec,4504.0,0.5845796364015112,0.006997065387741715,0.11733149442503658,0.021128111037971877,0.41704610856969,0.01116090854277131,0.023596545998871895,0.010350060035310756,positive,positive,positive
dunnhumby,target_neighbor_support,cbp,4504.0,0.6254722283040032,0.010525725439927497,0.3142616485688929,0.01989250756103996,0.4815696678725207,0.00951714761225071,0.07047785508173103,0.00762161249507549,positive,positive,positive
dunnhumby,target_neighbor_support,diffrec,4504.0,0.6289802817567945,0.008491896832472767,0.2348308304727904,0.006706136589088782,0.47167872360359836,0.0050437222353129346,0.06058691081280875,0.0037792236789052666,positive,positive,positive
dunnhumby,target_neighbor_support,dnntsp,4504.0,0.532707225720114,0.013103081887740805,-0.03709385570674041,0.04058354034259269,0.37102346770391753,0.003706568712448597,-0.04006834508687207,0.005472519933677036,positive,negative,negative
dunnhumby,target_neighbor_support,fpmc,4504.0,0.47572652822125416,0.0026783412254294107,-0.36060222185857765,0.007454979186312023,0.25476759866980453,0.0071796376909649805,-0.15632421412098504,0.006170992276854133,positive,negative,negative
dunnhumby,target_neighbor_support,frequency,4504.0,0.6258030419833268,0.009096518548892384,0.3108899905083637,0.020971664682130162,0.4814570592355634,0.008417533021377356,0.07036524644477382,0.006598173952335785,positive,positive,positive
dunnhumby,target_neighbor_support,recency,4504.0,0.4559061704039336,0.02545781086453224,-0.3024691832469143,0.026159974867449896,0.28759630913866063,0.012495397089224265,-0.12349550365212901,0.014122588115860677,positive,negative,negative
dunnhumby,target_neighbor_support,tifuknn,4504.0,0.6219955695356135,0.016331691412458334,0.28258955783773204,0.01923582220520932,0.472492126922371,0.007577135394948397,0.06140031413158147,0.007412310448450923,positive,positive,positive
dunnhumby,target_neighbor_support,triple2vec,4504.0,0.6198713788741653,0.009371008239392891,0.2073790555402388,0.006894663695876923,0.4681495491798808,0.0040127927895336375,0.057057736389091125,0.003757063515998872,positive,positive,positive
dunnhumby,target_novelty_fraction,cbp,4504.0,-0.5418202726631475,0.007638286536117486,-0.2920426669358,0.00827002811902633,-0.4466315526829123,0.0097551353544196,-0.07006314749774854,0.005268414479888237,negative,negative,negative
dunnhumby,target_novelty_fraction,diffrec,4504.0,-0.5305304496973409,0.0073678974613888915,-0.17152484690786837,0.0031704085845943608,-0.4243635662254572,0.010902551801317658,-0.047795161040293355,0.0033566302114604683,negative,negative,negative
dunnhumby,target_novelty_fraction,dnntsp,4504.0,-0.4613225773295535,0.015914245177710167,0.014706318894571904,0.04330861016967077,-0.35152991076354195,0.007994749350225216,0.025038494421621853,0.005176311075080074,negative,mixed,positive
dunnhumby,target_novelty_fraction,fpmc,4504.0,-0.316005454232435,0.005043351731791976,0.4159267270666012,0.012521060702703141,-0.18277558509679856,0.003937056962423091,0.19379282008836526,0.005084067652230112,negative,positive,positive
dunnhumby,target_novelty_fraction,frequency,4504.0,-0.5412178787967998,0.009462928785000574,-0.28354116216828723,0.01079901709303239,-0.4463199966046197,0.011092615416766538,-0.06975159141945592,0.005092659866984404,negative,negative,negative
dunnhumby,target_novelty_fraction,recency,4504.0,-0.41717487031137973,0.006560957862109997,0.22918238171874494,0.007265404620762912,-0.28520836685406165,0.010178710817962885,0.09136003833110219,0.0059174530398175855,negative,positive,positive
dunnhumby,target_novelty_fraction,tifuknn,4504.0,-0.5380594663764355,0.008164842549824658,-0.2551389685471328,0.00843880994795152,-0.4379096046330832,0.005580005228123202,-0.06134119944791941,0.003565415646143222,negative,negative,negative
dunnhumby,target_novelty_fraction,triple2vec,4504.0,-0.5443836179114129,0.01443461340623072,-0.2135796953462524,0.008523462963378081,-0.4378086586208359,0.014995572851518674,-0.0612402534356721,0.006729426887458915,negative,negative,negative
dunnhumby,target_popularity_profile,cbp,4504.0,0.1476384047524292,0.021457590378939073,0.02669642792735003,0.022101918667753184,0.13565782821831043,0.011039449945912235,0.006249428069652854,0.003830514259060846,positive,positive,positive
dunnhumby,target_popularity_profile,diffrec,4504.0,0.19693859335565614,0.01819099011787522,0.13533005407094498,0.02554211123265399,0.17608750370428242,0.008144094220848542,0.046679103555624844,0.006049819642414217,positive,positive,positive
dunnhumby,target_popularity_profile,dnntsp,4504.0,0.15497023378968333,0.01565943690109557,0.016507493766533436,0.025105660199489517,0.1293898446926119,0.012680748635283762,-1.8555456045657216e-05,0.013736237582654536,positive,mixed,mixed
