dataset,method_a,method_b,mean_delta,mean_decisive_rate,mean_conditional_a_win_rate,mean_tie_rate
tafeng,frequency,tifuknn,0.011054765961437748,0.19993452819379653,0.551629313240277,0.8000654718062035
tafeng,frequency,triple2vec,0.008181704714682526,0.20623618954087897,0.5847988673910377,0.793763810459121
tafeng,racf,cbp,-0.0056687943267739035,0.2893035436615108,0.5757850401396336,0.7106964563384892
tafeng,racf,diffrec,0.012052357161966752,0.21188313282592683,0.6164555833511048,0.7881168671740731
tafeng,racf,dnntsp,0.0027648022671892124,0.32441279973811277,0.542395454890365,0.6755872002618872
tafeng,racf,fpmc,0.025303856107675993,0.32858662738358296,0.6437487917476268,0.6714133726164171
tafeng,racf,sets2sets,0.005809246114723248,0.3250675178001473,0.565762845562252,0.6749324821998527
tafeng,racf,tifuknn,0.014220736457119867,0.2050085931745642,0.575237101774248,0.7949914068254357
tafeng,racf,triple2vec,0.011347675210364644,0.21049185694410344,0.6172034819297648,0.7895081430558966
tafeng,recency,cbp,-0.03580640980075201,0.3205663311236599,0.4107702666261898,0.6794336688763402
tafeng,recency,diffrec,-0.018085258312011358,0.25943203208118504,0.4312027921626784,0.740567967918815
tafeng,recency,dnntsp,-0.027372813206788898,0.3278500695637941,0.4393546129198839,0.672149930436206
tafeng,recency,fpmc,-0.004833759366302114,0.31500122759636634,0.5581696447983467,0.6849987724036337
tafeng,recency,frequency,-0.02697164497829599,0.20893690154677144,0.341679898163995,0.7910630984532285
tafeng,recency,racf,-0.03013761547397811,0.25476716588918896,0.3477864999292291,0.7452328341108111
tafeng,recency,sets2sets,-0.02432836935925486,0.319829773303871,0.46795493140040484,0.6801702266961289
tafeng,recency,tifuknn,-0.015916879016858242,0.18790408380391196,0.3863121935535729,0.8120959161960881
tafeng,recency,triple2vec,-0.018789940263613462,0.26516081512398726,0.43721437056949436,0.7348391848760127
tafeng,sets2sets,cbp,-0.011478040441497148,0.2627056223913577,0.4160169819124462,0.7372943776086424
tafeng,sets2sets,diffrec,0.006243111047243503,0.2893035436615108,0.4904704373442597,0.7106964563384892
tafeng,sets2sets,dnntsp,-0.003044443847534035,0.24895654308863246,0.48905511400448365,0.7510434569113675
tafeng,tifuknn,cbp,-0.01988953078389377,0.30829036746051236,0.5338048991515093,0.6917096325394877
tafeng,tifuknn,diffrec,-0.0021683792951531157,0.254521646615926,0.529719030250052,0.745478353384074
tafeng,tifuknn,dnntsp,-0.011455934189930655,0.3389802766183812,0.4975568969475143,0.6610197233816187
tafeng,tifuknn,fpmc,0.01108311965055613,0.33717980194778624,0.6002602054666342,0.6628201980522138
tafeng,tifuknn,sets2sets,-0.00841149034239662,0.34307226450609707,0.5239569470592089,0.6569277354939029
tafeng,tifuknn,triple2vec,-0.002873061246755222,0.2257140518864064,0.5452424501771005,0.7742859481135936
tafeng,triple2vec,cbp,-0.01701646953713855,0.28586627383582947,0.5094483896056641,0.7141337261641706
tafeng,triple2vec,diffrec,0.0007046819516021064,0.25304853097634833,0.486952386686349,0.7469514690236516
tafeng,triple2vec,dnntsp,-0.008582872943175432,0.32400360094934116,0.48889230063110817,0.6759963990506588
tafeng,triple2vec,sets2sets,-0.005538429095641398,0.3240854407070955,0.5079754479754479,0.6759145592929044
taobao,cbp,diffrec,-0.007301312575204139,0.04209970054606307,0.46871397336513615,0.9579002994539371
taobao,dnntsp,cbp,0.005396926562775056,0.04239328283717927,0.4790756385583972,0.9576067171628208
taobao,dnntsp,diffrec,-0.0019043860124290828,0.008396453525923317,0.11581162288913854,0.9916035464740767
taobao,fpmc,cbp,-0.0027636055744731415,0.03945745992601726,0.3761251897255235,0.9605425400739828
taobao,fpmc,diffrec,-0.010064918149677282,0.016792907051846634,0.07026297621289147,0.9832070929481533
taobao,fpmc,dnntsp,-0.008160532137248199,0.011038694145969115,0.14439781616688396,0.9889613058540309
taobao,fpmc,sets2sets,-0.011906975579422488,0.02066819329458047,0.03167231805002702,0.9793318067054195
taobao,fpmc,triple2vec,0.007219410422745758,0.054371440314720215,0.4972348686818971,0.9456285596852797
taobao,frequency,cbp,-0.004264751198267607,0.02548294286888615,0.4517376966007103,0.9745170571311138
taobao,frequency,diffrec,-0.011566063773471746,0.05161176677822794,0.4495619957011127,0.9483882332217721
taobao,frequency,dnntsp,-0.009661677761042665,0.05255123010979978,0.4795799119120166,0.9474487698902002
taobao,frequency,fpmc,-0.0015011456237944661,0.04908695907462862,0.5613060024358024,0.9509130409253714
taobao,frequency,racf,-0.005217062148362084,0.014091949973577595,0.3346149323927102,0.9859080500264223
taobao,frequency,sets2sets,-0.013408121203216952,0.052609946568023015,0.4397626023589512,0.947390053431977
taobao,frequency,tifuknn,-0.0101675646742608,0.035699606599729906,0.34687063679229163,0.9643003934002702
taobao,frequency,triple2vec,0.005718264798951292,0.029769244319182667,0.6165352501803156,0.9702307556808174
taobao,racf,cbp,0.0009523109500944762,0.017027772884739594,0.5672087172087172,0.9829722271152604
taobao,racf,diffrec,-0.006349001625109663,0.04386119429276026,0.4988811353876985,0.9561388057072397
taobao,racf,dnntsp,-0.00444461561268058,0.045211672831894784,0.5377974152619797,0.9547883271681052
taobao,racf,fpmc,0.003715916524567618,0.04239328283717927,0.6372031334078873,0.9576067171628208
taobao,racf,sets2sets,-0.00819105905485487,0.04515295637367154,0.4860860482233306,0.9548470436263284
taobao,racf,tifuknn,-0.004950502525898718,0.030708707650754508,0.39086355775289316,0.9692912923492455
taobao,racf,triple2vec,0.010935326947313377,0.03370324702013974,0.6621512916597783,0.9662967529798602
taobao,recency,cbp,-0.009068217381088024,0.05313839469203218,0.4329477825600669,0.9468616053079678
taobao,recency,diffrec,-0.016369529956292164,0.07656626152310493,0.4259129169944174,0.923433738476895
taobao,recency,dnntsp,-0.01446514394386308,0.07439375256884505,0.45655043299767106,0.9256062474311549
taobao,recency,fpmc,-0.006304611806614884,0.06640831425048442,0.5126951898101838,0.9335916857495157
taobao,recency,frequency,-0.004803466182820418,0.05026128823909342,0.4622579037059255,0.9497387117609066
taobao,recency,racf,-0.0100205283311825,0.053608126357818094,0.4252011256172638,0.9463918736421819
taobao,recency,sets2sets,-0.01821158738603737,0.07791674006223943,0.413816905916818,0.9220832599377605
taobao,recency,tifuknn,-0.014971030857081217,0.031413305149433385,0.28519032350722157,0.9685866948505666
taobao,recency,triple2vec,0.0009147986161308751,0.04938054136574482,0.5222554403527676,0.9506194586342552
taobao,sets2sets,cbp,0.009143370004949344,0.04386119429276026,0.559760459832406,0.9561388057072397
taobao,sets2sets,diffrec,0.0018420574297452052,0.011214843520638835,0.7184628237259817,0.9887851564793612
taobao,sets2sets,dnntsp,0.0037464434421742875,0.012154306852210675,0.9761582700713136,0.9878456931477894
taobao,tifuknn,cbp,0.005902813475993193,0.02994539369385239,0.6353222873624479,0.9700546063061477
taobao,tifuknn,diffrec,-0.001398499099210946,0.057424696142328695,0.5366674441499047,0.9425753038576713
taobao,tifuknn,dnntsp,0.0005058869132181371,0.05578063531207798,0.5753372284526703,0.944219364687922
taobao,tifuknn,fpmc,0.008666419050466336,0.05190534906934414,0.6587904139706612,0.9480946509306558
taobao,tifuknn,sets2sets,-0.0032405565289561505,0.058716458223239974,0.5196954143637592,0.9412835417767601
taobao,tifuknn,triple2vec,0.015885829473212095,0.03722623451353415,0.7263415997101829,0.9627737654864658
taobao,triple2vec,cbp,-0.0099830159972189,0.030356408901415066,0.3633954368444193,0.9696435910985849
taobao,triple2vec,diffrec,-0.01728432857242304,0.05953848863836533,0.39957334477963147,0.9404615113616347
taobao,triple2vec,dnntsp,-0.015379942559993956,0.05906875697257941,0.43382530092300203,0.9409312430274205
taobao,triple2vec,sets2sets,-0.019126386002168247,0.06153484821795549,0.38080884688159955,0.9384651517820446
tmall,cbp,diffrec,0.0024198442030944935,0.019893048128342247,0.7087557220141489,0.9801069518716577
tmall,dnntsp,cbp,-0.00046302531370806874,0.02795008912655972,0.48613288052943227,0.9720499108734403
tmall,dnntsp,diffrec,0.0019568188893864247,0.025098039215686273,0.598477835478287,0.9749019607843138
tmall,fpmc,cbp,-0.005071587143344596,0.022459893048128343,0.15160075575333906,0.9775401069518717
tmall,fpmc,diffrec,-0.0026517429402501025,0.013333333333333334,0.19213695830611255,0.9866666666666667
tmall,fpmc,dnntsp,-0.004608561829636528,0.02096256684491979,0.19383668872287133,0.9790374331550802
tmall,fpmc,sets2sets,-0.005171538143476924,0.021319073083778967,0.12514864200257458,0.978680926916221
tmall,fpmc,triple2vec,-0.00580680636317368,0.02181818181818182,0.13323643502605523,0.9781818181818182
tmall,frequency,cbp,0.0004579340853661169,0.017967914438502677,0.5573667073667073,0.9820320855614973
tmall,frequency,diffrec,0.0028777782884606105,0.015329768270944741,0.8211102622867328,0.9846702317290553
tmall,frequency,dnntsp,0.0009209593990741859,0.0285204991087344,0.525359809127992,0.9714795008912657
tmall,frequency,fpmc,0.0055295212287107135,0.02089126559714795,0.8723675269283597,0.9791087344028521
tmall,frequency,racf,0.0010958398426502175,0.018395721925133692,0.6421133938525243,0.9816042780748663
tmall,frequency,sets2sets,0.0003579830852337897,0.008484848484848486,0.7269476372924649,0.9915151515151516
tmall,frequency,tifuknn,-0.0008344317239215495,0.020178253119429588,0.4413722625866554,0.9798217468805704
tmall,frequency,triple2vec,-0.0002772851344629667,0.018395721925133692,0.4805483045183419,0.9816042780748663
tmall,racf,cbp,-0.0006379057572841006,0.015115864527629233,0.418499203244966,0.9848841354723707
tmall,racf,diffrec,0.001781938445810393,0.019750445632798572,0.669815668202765,0.9802495543672015
tmall,racf,dnntsp,-0.00017488044357603181,0.02837789661319073,0.4920365621551152,0.9716221033868093
tmall,racf,fpmc,0.004433681386060495,0.021532976827094475,0.8454280029196788,0.9784670231729056
tmall,racf,sets2sets,-0.0007378567574164279,0.015828877005347592,0.4165221180146553,0.9841711229946525
tmall,racf,tifuknn,-0.001930271566571767,0.01967914438502674,0.31547619047619047,0.9803208556149733
tmall,racf,triple2vec,-0.0013731249771131843,0.018110516934046344,0.34229771567232864,0.9818894830659537
tmall,recency,cbp,0.002307379288580375,0.02360071301247772,0.6657067341116678,0.9763992869875223
tmall,recency,diffrec,0.004727223491674869,0.02374331550802139,0.7379994526546252,0.9762566844919786
tmall,recency,dnntsp,0.0027704046022884437,0.030303030303030304,0.5734958449221822,0.9696969696969697
tmall,recency,fpmc,0.007378966431924971,0.024171122994652405,0.8941143713102476,0.9758288770053477
tmall,recency,frequency,0.0018494452032142578,0.01967914438502674,0.6238782381639525,0.9803208556149733
tmall,recency,racf,0.0029452850458644747,0.023814616755793227,0.6801298445799725,0.9761853832442068
tmall,recency,sets2sets,0.0022074282884480476,0.02253119429590018,0.6592057519497478,0.9774688057040999
tmall,recency,tifuknn,0.0010150134792927081,0.014402852049910873,0.6915554414221029,0.9855971479500892
tmall,recency,triple2vec,0.0015721600687512913,0.01647058823529412,0.7262439951047547,0.9835294117647059
tmall,sets2sets,cbp,9.99510001323273e-05,0.015258467023172906,0.478030303030303,0.9847415329768271
tmall,sets2sets,diffrec,0.0025197952032268212,0.01590017825311943,0.7951648351648352,0.9840998217468805
tmall,sets2sets,dnntsp,0.0005629763138403962,0.028591800356506242,0.5325072388813246,0.9714081996434937
tmall,tifuknn,cbp,0.0012923658092876666,0.01982174688057041,0.5998630998630999,0.9801782531194295
tmall,tifuknn,diffrec,0.0037122100123821605,0.021746880570409983,0.7364057239057239,0.9782531194295899
tmall,tifuknn,dnntsp,0.0017553911229957356,0.0285204991087344,0.5586162131519274,0.9714795008912657
tmall,tifuknn,fpmc,0.006363952952632263,0.023814616755793227,0.8807792713812587,0.9761853832442068
tmall,tifuknn,sets2sets,0.0011924148091553395,0.018680926916221034,0.6071211833011784,0.981319073083779
tmall,tifuknn,triple2vec,0.0005571465894585831,0.013975044563279857,0.6222686251920123,0.9860249554367201
tmall,triple2vec,cbp,0.0007352192198290837,0.015971479500891266,0.6020325203252033,0.9840285204991087
tmall,triple2vec,diffrec,0.0031550634229235777,0.019893048128342247,0.7204301075268816,0.9801069518716577
tmall,triple2vec,dnntsp,0.0011982445335371524,0.028591800356506242,0.5187601407305711,0.9714081996434937
tmall,triple2vec,sets2sets,0.0006352682196967564,0.016114081996434937,0.5901551003272443,0.9838859180035651
valuedshopper,cbp,diffrec,0.017842901568505872,0.5273039373457783,0.5699576820588202,0.47269606265422165
valuedshopper,dnntsp,cbp,-0.017023359451847995,0.5845402853771055,0.45084583542009443,0.4154597146228945
valuedshopper,dnntsp,diffrec,0.00081954211665788,0.5781032078103209,0.5065669646483562,0.42189679218967924
