dataset,keyset,feature,bin,method,n_users,feature_min,feature_median,feature_max,mean_ndcg,mean_centered_ndcg
dunnhumby,0,avg_basket_size,2,recency,906,3.3125,4.153846153846154,5.142857142857143,0.1262725617456194,-0.045804472595417145
dunnhumby,0,avg_basket_size,2,frequency,906,3.3125,4.153846153846154,5.142857142857143,0.2008687056968928,0.02879167135585625
dunnhumby,0,avg_basket_size,2,tifuknn,906,3.3125,4.153846153846154,5.142857142857143,0.19691129547596228,0.02483426113492576
dunnhumby,0,avg_basket_size,2,fpmc,906,3.3125,4.153846153846154,5.142857142857143,0.10760700929377462,-0.0644700250472619
dunnhumby,0,avg_basket_size,2,triple2vec,906,3.3125,4.153846153846154,5.142857142857143,0.19346854179869322,0.021391507457656677
dunnhumby,0,avg_basket_size,2,dnntsp,906,3.3125,4.153846153846154,5.142857142857143,0.16386134933911228,-0.00821568500192427
dunnhumby,0,avg_basket_size,2,cbp,906,3.3125,4.153846153846154,5.142857142857143,0.2005711796229558,0.028494145281919236
dunnhumby,0,avg_basket_size,2,diffrec,906,3.3125,4.153846153846154,5.142857142857143,0.18705563175528195,0.014978597414245402
dunnhumby,0,avg_basket_size,3,recency,868,5.166666666666667,6.169540229885058,7.416666666666667,0.1468190791908625,-0.06692558368037343
dunnhumby,0,avg_basket_size,3,frequency,868,5.166666666666667,6.169540229885058,7.416666666666667,0.24680739882622366,0.03306273595498776
dunnhumby,0,avg_basket_size,3,tifuknn,868,5.166666666666667,6.169540229885058,7.416666666666667,0.24119359137744042,0.027448928506204492
dunnhumby,0,avg_basket_size,3,fpmc,868,5.166666666666667,6.169540229885058,7.416666666666667,0.13487015854008347,-0.07887450433115246
dunnhumby,0,avg_basket_size,3,triple2vec,868,5.166666666666667,6.169540229885058,7.416666666666667,0.2360687977163964,0.02232413484516051
dunnhumby,0,avg_basket_size,3,dnntsp,868,5.166666666666667,6.169540229885058,7.416666666666667,0.22269447428631542,0.008949811415079499
dunnhumby,0,avg_basket_size,3,cbp,868,5.166666666666667,6.169540229885058,7.416666666666667,0.24769135374988285,0.03394669087864689
dunnhumby,0,avg_basket_size,3,diffrec,868,5.166666666666667,6.169540229885058,7.416666666666667,0.23381244928268272,0.020067786411446787
dunnhumby,0,avg_basket_size,4,recency,903,7.428571428571429,9.0,11.142857142857142,0.19283165529825724,-0.07226558646860659
dunnhumby,0,avg_basket_size,4,frequency,903,7.428571428571429,9.0,11.142857142857142,0.30031858099382647,0.03522133922696261
dunnhumby,0,avg_basket_size,4,tifuknn,903,7.428571428571429,9.0,11.142857142857142,0.2990805149169814,0.03398327315011753
dunnhumby,0,avg_basket_size,4,fpmc,903,7.428571428571429,9.0,11.142857142857142,0.16285714907770096,-0.10224009268916287
dunnhumby,0,avg_basket_size,4,triple2vec,903,7.428571428571429,9.0,11.142857142857142,0.2933031332430212,0.02820589147615741
dunnhumby,0,avg_basket_size,4,dnntsp,903,7.428571428571429,9.0,11.142857142857142,0.28385405616505915,0.018756814398195334
dunnhumby,0,avg_basket_size,4,cbp,903,7.428571428571429,9.0,11.142857142857142,0.30013601785948313,0.03503877609261931
dunnhumby,0,avg_basket_size,4,diffrec,903,7.428571428571429,9.0,11.142857142857142,0.2883968265805812,0.023299584813717328
dunnhumby,0,avg_basket_size,5,recency,924,11.166666666666666,14.5,57.0,0.2863829090331597,-0.07337933198658868
dunnhumby,0,avg_basket_size,5,frequency,924,11.166666666666666,14.5,57.0,0.4069157705131534,0.04715352949340499
dunnhumby,0,avg_basket_size,5,tifuknn,924,11.166666666666666,14.5,57.0,0.41321370241037236,0.05345146139062399
dunnhumby,0,avg_basket_size,5,fpmc,924,11.166666666666666,14.5,57.0,0.20757978280677897,-0.1521824582129694
dunnhumby,0,avg_basket_size,5,triple2vec,924,11.166666666666666,14.5,57.0,0.3864144960854501,0.026652255065701628
dunnhumby,0,avg_basket_size,5,dnntsp,924,11.166666666666666,14.5,57.0,0.38158697215386383,0.02182473113411545
dunnhumby,0,avg_basket_size,5,cbp,924,11.166666666666666,14.5,57.0,0.40797968214278446,0.04821744112303607
dunnhumby,0,avg_basket_size,5,diffrec,924,11.166666666666666,14.5,57.0,0.3880246130124244,0.028262371992676016
dunnhumby,0,repeat_rate,1,recency,906,0.0,0.0,0.0789473684210526,0.10193420439735008,-0.01415466941110096
dunnhumby,0,repeat_rate,1,frequency,906,0.0,0.0,0.0789473684210526,0.1242780407827241,0.008189166974273044
dunnhumby,0,repeat_rate,1,tifuknn,906,0.0,0.0,0.0789473684210526,0.1280628834724698,0.011974009664018752
dunnhumby,0,repeat_rate,1,fpmc,906,0.0,0.0,0.0789473684210526,0.09071721156203172,-0.025371662246419333
dunnhumby,0,repeat_rate,1,triple2vec,906,0.0,0.0,0.0789473684210526,0.11335995756982338,-0.0027289162386276685
dunnhumby,0,repeat_rate,1,dnntsp,906,0.0,0.0,0.0789473684210526,0.12236939609843696,0.006280522289985914
dunnhumby,0,repeat_rate,1,cbp,906,0.0,0.0,0.0789473684210526,0.12471712174192964,0.008628247933478593
dunnhumby,0,repeat_rate,1,diffrec,906,0.0,0.0,0.0789473684210526,0.12327217484284272,0.0071833010343916705
dunnhumby,0,repeat_rate,2,recency,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.12393924445026316,-0.04525318346871411
dunnhumby,0,repeat_rate,2,frequency,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.19787562015159135,0.028683192232614074
dunnhumby,0,repeat_rate,2,tifuknn,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.18790914761188343,0.018716719692906118
dunnhumby,0,repeat_rate,2,fpmc,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.10296328637165009,-0.0662291415473272
dunnhumby,0,repeat_rate,2,triple2vec,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.18610462793008808,0.01691220001111076
dunnhumby,0,repeat_rate,2,dnntsp,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.16631346275456813,-0.0028789651644091857
dunnhumby,0,repeat_rate,2,cbp,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.1982120630230417,0.029019635104064377
dunnhumby,0,repeat_rate,2,diffrec,914,0.0799999999999999,0.1320754716981131,0.1794871794871795,0.19022197105873245,0.02102954313975518
dunnhumby,0,repeat_rate,3,recency,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.1601943670977496,-0.06369405100242571
dunnhumby,0,repeat_rate,3,frequency,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.2552135276663327,0.03132510956615743
dunnhumby,0,repeat_rate,3,tifuknn,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.25593854652088965,0.03205012842071433
dunnhumby,0,repeat_rate,3,fpmc,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.13798999268120266,-0.08589842541897265
dunnhumby,0,repeat_rate,3,triple2vec,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.2500673835387151,0.026178965438539828
dunnhumby,0,repeat_rate,3,dnntsp,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.2306370866691388,0.006748668568963489
dunnhumby,0,repeat_rate,3,cbp,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.2581172355283324,0.03422881742815704
dunnhumby,0,repeat_rate,3,diffrec,939,0.1797752808988764,0.2285714285714285,0.2796610169491526,0.24294920509904155,0.01906078699886626
dunnhumby,0,repeat_rate,4,recency,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.19094040554671535,-0.0796828658358668
dunnhumby,0,repeat_rate,4,frequency,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.3173487651457382,0.04672549376315605
dunnhumby,0,repeat_rate,4,tifuknn,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.3130959704496342,0.04247269906705205
dunnhumby,0,repeat_rate,4,fpmc,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.14946194541403232,-0.12116132596854981
dunnhumby,0,repeat_rate,4,triple2vec,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.3064232412377726,0.03579996985519042
dunnhumby,0,repeat_rate,4,dnntsp,860,0.2797202797202797,0.3333333333333333,0.3924050632911392,0.27457996513462485,0.0039566937520427135
