dataset,keyset,method,analysis_type,mechanism,category,n_items,hit_rate_at5,mean_ndcg_contribution,rho_hit,rho_ndcg,low_to_high_hit,low_to_high_ndcg
dunnhumby,0,recency,target_class,target_class,last_basket_repeat,4871,0.5489632518989941,0.13833217834364206,,,,
dunnhumby,0,recency,target_class,target_class,novel,19431,0.0,0.0,,,,
dunnhumby,0,recency,target_class,target_class,older_repeat,10187,0.07558653185432414,0.0103542568611057,,,,
dunnhumby,0,recency,continuous,personal_frequency,,34489,0.09985792571544551,0.022595461026877102,0.4651133596661149,0.45300909875680095,0.375609756097561,0.08846961231090755
dunnhumby,0,recency,continuous,personal_recency_score,,34489,0.09985792571544551,0.022595461026877102,0.5105128157018596,0.4977474313759391,0.4145697030699547,0.0961747107862047
dunnhumby,0,recency,continuous,global_popularity,,34489,0.09985792571544551,0.022595461026877102,0.325063489439474,0.33232262359190023,0.2928986137339469,0.075461020678855
dunnhumby,0,recency,continuous,neighbor_support,,34489,0.09985792571544551,0.022595461026877102,0.4104640562556287,0.4000116834741477,0.33976519868983096,0.08181246267614257
dunnhumby,0,recency,continuous,transition_support,,34489,0.09985792571544551,0.022595461026877102,0.17723241384873903,0.18099238781495355,0.1508408402007786,0.03190416726100369
dunnhumby,0,recency,continuous,relational_support,,34489,0.09985792571544551,0.022595461026877102,0.18737816718915903,0.20619346339568623,0.16231758223083015,0.036766847993508045
dunnhumby,0,frequency,target_class,target_class,last_basket_repeat,4871,0.5210429070006158,0.1319770510112755,,,,
dunnhumby,0,frequency,target_class,target_class,novel,19431,0.0,0.0,,,,
dunnhumby,0,frequency,target_class,target_class,older_repeat,10187,0.24678511828801414,0.053706713013196225,,,,
dunnhumby,0,frequency,continuous,personal_frequency,,34489,0.14648148685088,0.03450289950248928,0.6094935781963221,0.6015300364173574,0.5991130820399113,0.15054843126256462
dunnhumby,0,frequency,continuous,personal_recency_score,,34489,0.14648148685088,0.03450289950248928,0.5400966593900991,0.5306084068524923,0.46992954202315046,0.11638597236353648
dunnhumby,0,frequency,continuous,global_popularity,,34489,0.14648148685088,0.03450289950248928,0.32601702322445225,0.32773299852746784,0.34369447497929745,0.08893894370959918
dunnhumby,0,frequency,continuous,neighbor_support,,34489,0.14648148685088,0.03450289950248928,0.5472791516396306,0.5401309631206498,0.5424794573674436,0.1363605615744809
dunnhumby,0,frequency,continuous,transition_support,,34489,0.14648148685088,0.03450289950248928,0.20371204791238137,0.20363843820212715,0.20173757909678064,0.0432774178009097
dunnhumby,0,frequency,continuous,relational_support,,34489,0.14648148685088,0.03450289950248928,0.21995855866607608,0.22725906784067243,0.2183179330896285,0.04420655202537951
dunnhumby,0,tifuknn,target_class,target_class,last_basket_repeat,4871,0.5777047834120304,0.14232707932058056,,,,
dunnhumby,0,tifuknn,target_class,target_class,novel,19431,0.0007204981730224899,6.877895978972168e-05,,,,
dunnhumby,0,tifuknn,target_class,target_class,older_repeat,10187,0.21537253362128203,0.04804312922483334,,,,
dunnhumby,0,tifuknn,continuous,personal_frequency,,34489,0.14561164429238307,0.03433056930475222,0.6004408179984742,0.5924440134783563,0.5907059615461202,0.14661709832490225
dunnhumby,0,tifuknn,continuous,personal_recency_score,,34489,0.14561164429238307,0.03433056930475222,0.5619172182685751,0.5508243129006359,0.5028024006694537,0.12263013502714078
dunnhumby,0,tifuknn,continuous,global_popularity,,34489,0.14561164429238307,0.03433056930475222,0.329149346051954,0.33779224856786383,0.3480752372268653,0.09706850694663455
dunnhumby,0,tifuknn,continuous,neighbor_support,,34489,0.14561164429238307,0.03433056930475222,0.55071320960433,0.5442975999770607,0.5449898828906676,0.13783363870795348
dunnhumby,0,tifuknn,continuous,transition_support,,34489,0.14561164429238307,0.03433056930475222,0.20350995540477543,0.20480401005845253,0.20143588346073568,0.0428547247513196
dunnhumby,0,tifuknn,continuous,relational_support,,34489,0.14561164429238307,0.03433056930475222,0.21306031259952915,0.22455246506799273,0.21263180536707665,0.04432675736076768
dunnhumby,0,fpmc,target_class,target_class,last_basket_repeat,4871,0.25744200369533976,0.06708335534505841,,,,
dunnhumby,0,fpmc,target_class,target_class,novel,19431,0.019453450671607225,0.003917702163507871,,,,
dunnhumby,0,fpmc,target_class,target_class,older_repeat,10187,0.10228722882104643,0.021982681286049726,,,,
dunnhumby,0,fpmc,continuous,personal_frequency,,34489,0.07753196671402476,0.01817464898622429,0.31267932867484,0.3084236388605443,0.2303617747533743,0.057575042592900874
dunnhumby,0,fpmc,continuous,personal_recency_score,,34489,0.07753196671402476,0.01817464898622429,0.2928203858620475,0.28881483959608717,0.19393356492980193,0.049199949339472804
dunnhumby,0,fpmc,continuous,global_popularity,,34489,0.07753196671402476,0.01817464898622429,0.38285947710425733,0.3751989516825156,0.31444680958791127,0.07543471750182773
dunnhumby,0,fpmc,continuous,neighbor_support,,34489,0.07753196671402476,0.01817464898622429,0.42008036342444205,0.4092856666052876,0.31924185595801874,0.07750175694529017
dunnhumby,0,fpmc,continuous,transition_support,,34489,0.07753196671402476,0.01817464898622429,0.19611097560972676,0.1956163783713584,0.14979892455274701,0.034329468136916313
dunnhumby,0,fpmc,continuous,relational_support,,34489,0.07753196671402476,0.01817464898622429,0.22471827060509564,0.2375870706086242,0.17522646060387595,0.042179986302656784
dunnhumby,0,triple2vec,target_class,target_class,last_basket_repeat,4871,0.517347567234654,0.12876007305254694,,,,
dunnhumby,0,triple2vec,target_class,target_class,novel,19431,0.0001543924656476764,8.727296723627607e-06,,,,
dunnhumby,0,triple2vec,target_class,target_class,older_repeat,10187,0.2384411504859134,0.051524049626866644,,,,
dunnhumby,0,triple2vec,continuous,personal_frequency,,34489,0.1435820116558903,0.0334087793061696,0.6007078758004168,0.5921801160116451,0.5853592808529038,0.1447142631043674
dunnhumby,0,triple2vec,continuous,personal_recency_score,,34489,0.1435820116558903,0.0334087793061696,0.5347351297427768,0.5240727149936159,0.460338813372299,0.11262358381749935
dunnhumby,0,triple2vec,continuous,global_popularity,,34489,0.1435820116558903,0.0334087793061696,0.24212241768052012,0.24374176944633558,0.2515692101559921,0.06633191528874625
dunnhumby,0,triple2vec,continuous,neighbor_support,,34489,0.1435820116558903,0.0334087793061696,0.5275075439024108,0.5203583420636261,0.5119928257655441,0.12849701463042307
dunnhumby,0,triple2vec,continuous,transition_support,,34489,0.1435820116558903,0.0334087793061696,0.17640113083980147,0.17715967652087283,0.17289196200614151,0.03640946789222971
dunnhumby,0,triple2vec,continuous,relational_support,,34489,0.1435820116558903,0.0334087793061696,0.17387984853160077,0.18276975357499115,0.17073768317459012,0.032844354049127264
dunnhumby,0,dnntsp,target_class,target_class,last_basket_repeat,4871,0.4674604803941696,0.11189426877927472,,,,
dunnhumby,0,dnntsp,target_class,target_class,novel,19431,0.0024188152951469303,0.0004902179614979137,,,,
dunnhumby,0,dnntsp,target_class,target_class,older_repeat,10187,0.22401099440463335,0.048833489768402544,,,,
dunnhumby,0,dnntsp,continuous,personal_frequency,,34489,0.1335498274812259,0.03050332479064136,0.5558802337229853,0.5469945032408592,0.5241148136775063,0.1255687144026596
dunnhumby,0,dnntsp,continuous,personal_recency_score,,34489,0.1335498274812259,0.03050332479064136,0.5014090821150216,0.4908875952531349,0.4186934141965491,0.09939099761248898
dunnhumby,0,dnntsp,continuous,global_popularity,,34489,0.1335498274812259,0.03050332479064136,0.3163993751058137,0.31335684830723426,0.3229223897722028,0.0786995696253575
dunnhumby,0,dnntsp,continuous,neighbor_support,,34489,0.1335498274812259,0.03050332479064136,0.5014639831687903,0.4937210957025696,0.4747314806604822,0.1153485670787586
dunnhumby,0,dnntsp,continuous,transition_support,,34489,0.1335498274812259,0.03050332479064136,0.1908354581707517,0.19074683156513678,0.18274623210315608,0.038309588729004196
dunnhumby,0,dnntsp,continuous,relational_support,,34489,0.1335498274812259,0.03050332479064136,0.20958136419342166,0.2176524489276008,0.2029358658433645,0.04026005567703152
dunnhumby,0,cbp,target_class,target_class,last_basket_repeat,4871,0.5288441798398686,0.13276227420248138,,,,
dunnhumby,0,cbp,target_class,target_class,novel,19431,0.0005661057073748135,5.329930459188577e-05,,,,
dunnhumby,0,cbp,target_class,target_class,older_repeat,10187,0.24757043290468245,0.053736059015679294,,,,
dunnhumby,0,cbp,continuous,personal_frequency,,34489,0.14813418771202413,0.03465249585724539,0.6101148706723841,0.6031840890125323,0.6012077302128026,0.15030642013470313
dunnhumby,0,cbp,continuous,personal_recency_score,,34489,0.14813418771202413,0.03465249585724539,0.5427644314556591,0.5337445949785999,0.47489942021109527,0.1167161212050479
dunnhumby,0,cbp,continuous,global_popularity,,34489,0.14813418771202413,0.03465249585724539,0.32376784181304696,0.3254039290887314,0.3428436928430443,0.0884152822441734
dunnhumby,0,cbp,continuous,neighbor_support,,34489,0.14813418771202413,0.03465249585724539,0.5490599937454254,0.5422922233754129,0.5445280779629094,0.13637202482850425
dunnhumby,0,cbp,continuous,transition_support,,34489,0.14813418771202413,0.03465249585724539,0.20427087921566003,0.20395590889484616,0.20323882571634316,0.04343748963689964
dunnhumby,0,cbp,continuous,relational_support,,34489,0.14813418771202413,0.03465249585724539,0.21936088567681356,0.2278815160438547,0.22007343884523065,0.04527922497573727
dunnhumby,0,diffrec,target_class,target_class,last_basket_repeat,4871,0.47916238965304864,0.11991683986334245,,,,
dunnhumby,0,diffrec,target_class,target_class,novel,19431,0.0031907776233853122,0.0004881188538997085,,,,
dunnhumby,0,diffrec,target_class,target_class,older_repeat,10187,0.23824482183174633,0.05352161437690199,,,,
