dataset,keyset,outcome,method,feature,n_users,r2,coef
dunnhumby,0,centered,dnntsp,recent_basket_novelty,4504,0.028516097959020104,0.0063412914046161555
dunnhumby,0,centered,dnntsp,popularity_profile,4504,0.028516097959020104,-0.0007487985340207445
dunnhumby,0,centered,dnntsp,neighbor_similarity,4504,0.028516097959020104,-0.004195815396961812
dunnhumby,0,centered,dnntsp,transition_strength,4504,0.028516097959020104,-0.0005249186967579416
dunnhumby,0,centered,dnntsp,relational_strength,4504,0.028516097959020104,0.001853045526685125
dunnhumby,0,centered,cbp,n_baskets,4504,0.04043522504583419,-0.003914082710627653
dunnhumby,0,centered,cbp,avg_basket_size,4504,0.04043522504583419,0.0021225893881587536
dunnhumby,0,centered,cbp,repeat_rate,4504,0.04043522504583419,0.01641176847188928
dunnhumby,0,centered,cbp,adjacent_basket_jaccard,4504,0.04043522504583419,0.007665310313916832
dunnhumby,0,centered,cbp,recent_basket_novelty,4504,0.04043522504583419,0.0035481229133186563
dunnhumby,0,centered,cbp,popularity_profile,4504,0.04043522504583419,-0.0027442800193017472
dunnhumby,0,centered,cbp,neighbor_similarity,4504,0.04043522504583419,-0.0030605416511122483
dunnhumby,0,centered,cbp,transition_strength,4504,0.04043522504583419,0.0013108340207369608
dunnhumby,0,centered,cbp,relational_strength,4504,0.04043522504583419,-0.00509997775651046
dunnhumby,0,centered,diffrec,n_baskets,4504,0.01524242905733697,0.004710920068273383
dunnhumby,0,centered,diffrec,avg_basket_size,4504,0.01524242905733697,0.005558220049081464
dunnhumby,0,centered,diffrec,repeat_rate,4504,0.01524242905733697,0.007748472901982873
dunnhumby,0,centered,diffrec,adjacent_basket_jaccard,4504,0.01524242905733697,0.002495920224915948
dunnhumby,0,centered,diffrec,recent_basket_novelty,4504,0.01524242905733697,0.008041831922543853
dunnhumby,0,centered,diffrec,popularity_profile,4504,0.01524242905733697,0.004898750317753019
dunnhumby,0,centered,diffrec,neighbor_similarity,4504,0.01524242905733697,0.005085239292873429
dunnhumby,0,centered,diffrec,transition_strength,4504,0.01524242905733697,0.002785371369632976
dunnhumby,0,centered,diffrec,relational_strength,4504,0.01524242905733697,-0.0022720422827276357
dunnhumby,1,difficulty,all_method_mean,n_baskets,4504,0.2348144045560373,-0.04906491325694362
dunnhumby,1,difficulty,all_method_mean,avg_basket_size,4504,0.2348144045560373,0.0480829348463416
dunnhumby,1,difficulty,all_method_mean,repeat_rate,4504,0.2348144045560373,0.09073551980647984
dunnhumby,1,difficulty,all_method_mean,adjacent_basket_jaccard,4504,0.2348144045560373,0.022923358522541487
dunnhumby,1,difficulty,all_method_mean,recent_basket_novelty,4504,0.2348144045560373,-0.0007486836700973318
dunnhumby,1,difficulty,all_method_mean,popularity_profile,4504,0.2348144045560373,0.011801792141000573
dunnhumby,1,difficulty,all_method_mean,neighbor_similarity,4504,0.2348144045560373,-0.003253989614055916
dunnhumby,1,difficulty,all_method_mean,transition_strength,4504,0.2348144045560373,0.004333324738371764
dunnhumby,1,difficulty,all_method_mean,relational_strength,4504,0.2348144045560373,-0.007699053688658357
dunnhumby,1,centered,recency,n_baskets,4504,0.050321153359027426,-0.0024549773080103972
