dataset,n_eval,n_ge2,n_ge3,n_ge5,transition_missing,relational_missing
dunnhumby,10997.0,10997.0,9795.0,7774.0,0.0,0.0
instacart,10056.0,10056.0,9620.0,7580.0,0.0,0.0
sam,8959.0,8959.0,6494.0,3990.0,0.0,0.0
tafeng,9924.0,6825.0,4965.0,2796.0,0.312273276904474,0.0
valuedshopper,15150.0,15150.0,15126.0,15097.0,0.0,0.0
