dataset,outcome,method,feature,n_users,coef_mean,coef_sd,r2_mean,n_keysets,coef_sign,abs_coef_mean
dunnhumby,centered,fpmc,repeat_rate,4504.0,-0.055604175164611545,0.011790738988090126,0.11773452186411426,3,negative,0.055604175164611545
dunnhumby,centered,recency,repeat_rate,4504.0,-0.05358394558902935,0.009785947582102468,0.054562702768155745,3,negative,0.05358394558902935
dunnhumby,centered,recency,recent_basket_novelty,4504.0,-0.03187152842210774,0.0058429195802943215,0.054562702768155745,3,negative,0.03187152842210774
dunnhumby,centered,fpmc,n_baskets,4504.0,0.030146406342515503,0.007971102406888239,0.11773452186411426,3,positive,0.030146406342515503
dunnhumby,centered,triple2vec,repeat_rate,4504.0,0.022920013667059275,0.006400893264186273,0.030561199316692322,3,positive,0.022920013667059275
dunnhumby,centered,dnntsp,n_baskets,4504.0,-0.022329020157104765,0.00854406398618285,0.03415443041656655,3,negative,0.022329020157104765
dunnhumby,centered,cbp,repeat_rate,4504.0,0.020995207073923744,0.005450998503771182,0.047900450545523686,3,positive,0.020995207073923744
dunnhumby,centered,frequency,repeat_rate,4504.0,0.020845228920602754,0.0034747614989686397,0.05009523549318725,3,positive,0.020845228920602754
dunnhumby,centered,tifuknn,repeat_rate,4504.0,0.020608424088410283,0.004675882332434654,0.04289020779560212,3,positive,0.020608424088410283
dunnhumby,centered,fpmc,adjacent_basket_jaccard,4504.0,-0.01909616251620834,0.00493866473537163,0.11773452186411426,3,negative,0.01909616251620834
dunnhumby,centered,dnntsp,adjacent_basket_jaccard,4504.0,-0.017831719147119795,0.005991380362611219,0.03415443041656655,3,negative,0.017831719147119795
dunnhumby,centered,fpmc,avg_basket_size,4504.0,-0.01447686888862743,0.0019636476257355456,0.11773452186411426,3,negative,0.01447686888862743
dunnhumby,centered,dnntsp,repeat_rate,4504.0,0.014312337469664415,0.0056521558837123904,0.03415443041656655,3,positive,0.014312337469664415
dunnhumby,centered,recency,adjacent_basket_jaccard,4504.0,0.013245560423239109,0.001992991671100024,0.054562702768155745,3,positive,0.013245560423239109
dunnhumby,centered,fpmc,relational_strength,4504.0,0.009711101228488743,0.0017434607419498178,0.11773452186411426,3,positive,0.009711101228488743
dunnhumby,centered,diffrec,repeat_rate,4504.0,0.009506909533980487,0.0019469014959516417,0.020554649888384253,3,positive,0.009506909533980487
dunnhumby,centered,tifuknn,n_baskets,4504.0,-0.008296759096073506,0.0013098918853762201,0.04289020779560212,3,negative,0.008296759096073506
dunnhumby,centered,diffrec,popularity_profile,4504.0,0.007719399203208571,0.0028343553180661223,0.020554649888384253,3,positive,0.007719399203208571
dunnhumby,centered,dnntsp,avg_basket_size,4504.0,0.0075848152254000475,0.005820205792621142,0.03415443041656655,3,positive,0.0075848152254000475
dunnhumby,centered,diffrec,recent_basket_novelty,4504.0,0.007343702181890822,0.003079424346112606,0.020554649888384253,3,positive,0.007343702181890822
dunnhumby,centered,triple2vec,recent_basket_novelty,4504.0,0.007172808926825765,0.0033824754831346766,0.030561199316692322,3,positive,0.007172808926825765
dunnhumby,centered,fpmc,recent_basket_novelty,4504.0,-0.007131412245501042,0.00598700565126428,0.11773452186411426,3,negative,0.007131412245501042
dunnhumby,centered,frequency,recent_basket_novelty,4504.0,0.007067565543112663,0.0038729778299362253,0.05009523549318725,3,positive,0.007067565543112663
dunnhumby,centered,triple2vec,adjacent_basket_jaccard,4504.0,0.006761710138667534,0.004424403066134058,0.030561199316692322,3,positive,0.006761710138667534
dunnhumby,centered,cbp,recent_basket_novelty,4504.0,0.0064802336810509354,0.004129122632584451,0.047900450545523686,3,positive,0.0064802336810509354
dunnhumby,centered,frequency,adjacent_basket_jaccard,4504.0,0.006282422645394199,0.002035546084437117,0.05009523549318725,3,positive,0.006282422645394199
dunnhumby,centered,tifuknn,adjacent_basket_jaccard,4504.0,0.0059803260456843,0.004045158600439917,0.04289020779560212,3,positive,0.0059803260456843
dunnhumby,centered,cbp,adjacent_basket_jaccard,4504.0,0.005779772816810203,0.0020711892111486873,0.047900450545523686,3,positive,0.005779772816810203
dunnhumby,centered,fpmc,transition_strength,4504.0,-0.0055740619981054056,0.0031316479474146233,0.11773452186411426,3,negative,0.0055740619981054056
dunnhumby,centered,tifuknn,recent_basket_novelty,4504.0,0.005481541043056013,0.0029955826605752994,0.04289020779560212,3,positive,0.005481541043056013
