metric,value,std_error,count
WHR@5,0.32217875491934067,0.004227257211792966,3
precision@5,0.26829739298358546,0.0033107694920263453,3
precision@10,0.20219933483531813,0.0013748452629420245,3
nDCG@5,0.3189704095103846,0.004445608170365114,3
HR@5,0.3027536387369023,0.004304892359828051,3
recall@5,0.1410097388214957,0.0023640209905177916,3
WHR@10,0.2722735283105608,0.0032575942671712182,3
recall@10,0.19147418039778705,0.001825443710184132,3
nDCG@10,0.2776243775011158,0.0034285812482598254,3
HR@10,0.2742844711463958,0.0021451920235083127,3
